trait,model_1,model_2,n,r,p,ci_low,ci_high
Machiavellianism,GPT-5,GPT-OSS-120B,72,0.6593520780676079,3.0181923249043215e-10,0.5047909105110321,0.7729514208085808
Machiavellianism,GPT-5,Grok-4,73,0.8788081472210545,1.6416611130755438e-24,0.8131469928608674,0.9223833491547893
Machiavellianism,GPT-5,LLaMA-3,73,0.6704177358611951,8.698231612952641e-11,0.5206572487541137,0.7801532523831425
Machiavellianism,GPT-OSS-120B,Grok-4,72,0.5684421298398785,1.9013848003137995e-07,0.3878495446846208,0.7070050702646592
Machiavellianism,GPT-OSS-120B,LLaMA-3,72,0.514379864310659,3.799555928740805e-06,0.32095853728797763,0.6666112628008165
Machiavellianism,Grok-4,LLaMA-3,73,0.5925835664187982,3.3315163456011344e-08,0.4197413422353743,0.7239515671558978
Narcissism,GPT-5,GPT-OSS-120B,73,0.7823576829966019,3.005303725588688e-16,0.6735206977877124,0.8579909612422401
Narcissism,GPT-5,Grok-4,73,0.8406943383601655,1.360710972648616e-20,0.7570535195981244,0.8972239224239269
Narcissism,GPT-5,LLaMA-3,73,0.4902134663894367,1.0711625290565031e-05,0.29321566062787363,0.6472792455131632
Narcissism,GPT-OSS-120B,Grok-4,73,0.808418475289433,5.268793598632927e-18,0.7104969853425902,0.8756272770361403
Narcissism,GPT-OSS-120B,LLaMA-3,73,0.4709154935550861,2.6150167219569465e-05,0.2701128490184205,0.6324605721700732
Narcissism,Grok-4,LLaMA-3,73,0.4401089311700458,9.770419736817578e-05,0.2337054174584944,0.6085569764441244
Psychopathy,GPT-5,GPT-OSS-120B,73,0.8221677189696853,4.822541945909248e-19,0.7302254193705746,0.8848602408087384
Psychopathy,GPT-5,Grok-4,73,0.8806574836222504,9.828632537278865e-25,0.8159001109085717,0.9235947873914465
Psychopathy,GPT-5,LLaMA-3,73,0.5105885911109831,3.929302235873009e-06,0.31786027353073254,0.6627972556171366
Psychopathy,GPT-OSS-120B,Grok-4,73,0.7495072002189602,2.378039692618691e-14,0.6276742360253805,0.8355028115579287
Psychopathy,GPT-OSS-120B,LLaMA-3,73,0.5000980356738585,6.638209364742032e-06,0.305138876105467,0.654823781191642
Psychopathy,Grok-4,LLaMA-3,73,0.5002410108226532,6.5917013998488986e-06,0.3053117888306193,0.6549326831978829
