model,trait,n,r_sd3_broad,r_sd3_specific,r_broad_specific,diff_broad_minus_specific,dependent_corr_test,williams_t,williams_df,williams_p,boot_diff_mean,boot_ci_low,boot_ci_high,boot_n
GPT-5,Machiavellianism,73,0.06897271210950193,-0.007175820014320156,0.09229098210798453,0.07614853212382208,Williams,0.47393817523162685,70,0.6370189507150796,0.07098309153209749,-0.2557149550271238,0.3988732025459506,2000
GPT-5,Narcissism,73,0.344941807993429,0.05513119129484035,0.1320637302384785,0.28981061669858865,Williams,1.9465622776458738,70,0.0556012713161611,0.289901409568168,-0.019837864502137478,0.5761037797286019,2000
GPT-5,Psychopathy,73,0.3908561628544991,0.39389686565598536,0.3087076400165815,-0.0030407028014862725,Williams,-0.024311076497580637,70,0.9806736489905421,-0.0006915853625960237,-0.28083147528524094,0.2738812911861697,2000
GPT-OSS-120B,Machiavellianism,60,0.09989153802087411,-0.04431574084059533,-0.04714652364927703,0.14420727886146945,Williams,0.7565442906886815,57,0.45243864325076455,0.1476635916041284,-0.16494801072469567,0.43660175616938296,2000
GPT-OSS-120B,Narcissism,68,0.2765110675817093,0.06361833732196347,0.11236843381177339,0.2128927302597458,Williams,1.3340855404485126,65,0.18683124195212483,0.2069431014002054,-0.08154307322506868,0.4770508082500695,2000
GPT-OSS-120B,Psychopathy,66,0.4606810298562803,0.21732479366720547,0.13645383817841622,0.24335623618907481,Williams,1.6432677555174853,63,0.10530970377740716,0.24365514672613237,-0.07784750920772673,0.561964956603369,2000
Grok-4,Machiavellianism,73,0.14163428340649875,0.013023901661534304,0.020095108987986443,0.12861038174496445,Williams,0.7754179088985235,70,0.4407045337362684,0.12834012479899962,-0.2215592913062963,0.43930320455370203,2000
Grok-4,Narcissism,73,0.2967271896424666,0.04607938277875025,0.2127909666979619,0.25064780686371635,Williams,1.7434440928041248,70,0.08564662582343845,0.24580271116656363,-0.05509621544928249,0.5239591545370409,2000
Grok-4,Psychopathy,73,0.455733568007487,0.31507562925306687,0.1817326847654273,0.14065793875442012,Williams,1.0433235065003081,70,0.3003883004959729,0.14165927823811347,-0.1905940867481363,0.45092316530244264,2000
LLaMA-3,Machiavellianism,73,0.1503961571376429,-0.10692057471118531,0.0931200810758448,0.2573167318488282,Williams,1.629140173501156,70,0.10777582414544208,0.25018679854652653,-0.15703894167853258,0.6070606211349844,2000
LLaMA-3,Narcissism,73,0.30840859174901564,0.10294424220278245,0.19791518476430886,0.2054643495462332,Williams,1.4195916247982239,70,0.1601647206693882,0.20448501489672838,-0.05927874129125587,0.46221057752619843,2000
LLaMA-3,Psychopathy,73,0.2078254101907796,0.025365118812657586,0.17195515034074668,0.18246029137812203,Williams,1.2103536774879724,70,0.2302143633085996,0.18420286880542794,-0.2427264070642983,0.5908661281153664,2000
MODEL_AVERAGE,Machiavellianism,73,0.12001861183064441,-0.03276376123103916,0.026085536709955448,0.15278237306168357,Williams,0.9227693138336671,70,0.359297202499377,0.14820467672185383,-0.22078478626553363,0.4859572219811872,2000
MODEL_AVERAGE,Narcissism,73,0.35858497339276096,0.07895872004104741,0.2309826130065179,0.27962625335171354,Williams,2.008016370248428,70,0.04850201895857236,0.2774814585374933,0.013628613071419705,0.5264480841152339,2000
MODEL_AVERAGE,Psychopathy,73,0.46187426394523473,0.3264766024635553,0.2761198067539471,0.13539766148167942,Williams,1.0695611278732913,70,0.2884912146840197,0.13505375115361465,-0.1776633369196666,0.4162593558827578,2000
