model,trait,outcome,predictor,n,intercept,slope,slope_se,slope_ci_low,slope_ci_high,t,p,r2
GPT-5,Machiavellianism,abs_z_LLM_minus_SD3,MCSDS_z,73,1.0206484496205457,-0.14914334309437427,0.1079938194189811,-0.3644769030487712,0.06619021686002263,-1.3810359138771295,0.1715994186284506,0.026160085981920878
GPT-5,Narcissism,abs_z_LLM_minus_SD3,MCSDS_z,73,0.9685723396745277,0.17462279560189803,0.07886929532673975,0.017361887290912176,0.3318837039128839,2.214078303584058,0.030035849488712265,0.06458503749433442
GPT-5,Psychopathy,abs_z_LLM_minus_SD3,MCSDS_z,73,0.7983068546792751,-0.048288556525910804,0.07339280482252182,-0.19462965291919326,0.09805253986737167,-0.6579467380035685,0.512700033638185,0.006060148012408173
GPT-OSS-120B,Machiavellianism,abs_z_LLM_minus_SD3,MCSDS_z,73,1.0617337089207763,-0.22321179899121488,0.12009014343546286,-0.46266474398861424,0.01624114600618451,-1.858702076671015,0.06721424210756959,0.04640096600395316
GPT-OSS-120B,Narcissism,abs_z_LLM_minus_SD3,MCSDS_z,73,0.9908952194512141,0.13946213143363453,0.09077016305766893,-0.041528433156152844,0.3204526960234219,1.5364314300617725,0.12887731464032834,0.03217831978178709
GPT-OSS-120B,Psychopathy,abs_z_LLM_minus_SD3,MCSDS_z,73,0.7785637302521804,0.023543710194807523,0.07678191013775369,-0.12955507026331856,0.1766424906529336,0.3066309519073956,0.7600217447168338,0.0013225097878498682
Grok-4,Machiavellianism,abs_z_LLM_minus_SD3,MCSDS_z,73,0.9548187991805885,-0.11740296988544494,0.10867875124938962,-0.3341022451202297,0.09929630534933981,-1.0802752933371076,0.2836755495048001,0.016170753875700328
Grok-4,Narcissism,abs_z_LLM_minus_SD3,MCSDS_z,73,0.9631696756731085,0.09760616435576867,0.08976545026537452,-0.08138105982564668,0.276593388537184,1.08734668034544,0.2805611928413607,0.016379672436987347
Grok-4,Psychopathy,abs_z_LLM_minus_SD3,MCSDS_z,73,0.8025682875694092,0.002126673349010297,0.06852963338493105,-0.13451753461159113,0.1387708813096117,0.031032901300737593,0.9753303719180075,1.3563773248792543e-05
LLaMA-3,Machiavellianism,abs_z_LLM_minus_SD3,MCSDS_z,73,1.031109036409611,-0.03608588312047545,0.1076151729510775,-0.25066444346159344,0.17849267722064258,-0.3353233761644402,0.7383699378605806,0.0015811827552112412
LLaMA-3,Narcissism,abs_z_LLM_minus_SD3,MCSDS_z,73,0.9971168280441466,-0.017958570348059734,0.07982800825869912,-0.17713109795099966,0.1412139572548802,-0.22496578255919003,0.8226521170856103,0.0007123035763524355
LLaMA-3,Psychopathy,abs_z_LLM_minus_SD3,MCSDS_z,73,1.0378299636035861,0.004402390736295664,0.0929169933257711,-0.18086883182758168,0.18967361330017302,0.047379823417883174,0.9623435309925311,3.161657313666133e-05
MODEL_AVERAGE,Machiavellianism,abs_z_LLM_minus_SD3,MCSDS_z,73,0.9899864119319424,-0.1680953807271963,0.11436590253831606,-0.39613451355413254,0.05994375209973993,-1.4698032979793012,0.14603258536479963,0.029528598064169742
MODEL_AVERAGE,Narcissism,abs_z_LLM_minus_SD3,MCSDS_z,73,0.9426127196523706,0.15188981362765655,0.08420472399376215,-0.016009637286358513,0.3197892645416716,1.8038158243818776,0.07550215999643418,0.04381935540389237
MODEL_AVERAGE,Psychopathy,abs_z_LLM_minus_SD3,MCSDS_z,73,0.78123421704788,-0.009772982263719737,0.07525674456857957,-0.1598306689509516,0.14028470442351215,-0.12986187908797814,0.897042916883986,0.00023746623921183652
